id,question_vi,question_en,answer_en,answer_vi_current,answer_vi_corrected,notes
5ae1f3df554299234fd04364,Khi nào thì ca s? rock M? ?ã bi?u di?n các b?n cover qua ??i?,When did the  American rock singer  which performed  Recorded covers died ,at age 27,? tu?i 27,,ok
5abb66c05542992ccd8e7f3e,Các t?i l?i mà ng??i m? ??u tr?n ??u Khalid Latif và 5 c?u th? cricket khác b? ?ình ch? thi ??u vào tháng Hai n?m 2017 là gì?,"What offence were opening batsman Khalid Latif and 5 other cricketers suspended for, in February 2017?",spot-fixing,??t ch?,dàn x?p tình hu?ng,translation_error
5aba7cb455429901930fa7eb,C? m?t c?u phi hành gia c?a NASA và ng??i sáng l?p FlightSafety International ?ã nh?n ???c nh?ng vinh d? gì?,What honor has been received by both a former NASA Astronaut and the Founder of FlightSafety International?,National Aviation Hall of Fame,Tòa nhà hàng không qu?c gia,??i s?nh Danh v?ng Hàng không Qu?c gia,translation_error
5ac3d1d9554299204fd21e8a,Có bao nhiêu album ?ã ???c Talking Heads thu âm vào tháng 11 n?m 1980?,"How many albums had been recorded by Talking Heads by November, 1980?",four,4,,ok
5ac0a18a5542992a796ded41,"Th? lo?i tác ph?m c?a nhà v?n có ti?u thuy?t ???c vi?t d?a trên ""I'll Take Manhattan"" là gì?","What genre did the writer whose novel was based on ""I'll Take Manhattan"" writes?",romance genre,Phân lo?i lãng m?n,th? lo?i lãng m?n,wording_correction
5ab92f1f554299753720f77b,Ngh? nghi?p nào c?a 2007 Formula 3 Euro Series và Romain Grosjean có ?i?m chung?,What profession does 2007 Formula 3 Euro Series and Romain Grosjeanhave in common?,driver,lái xe,tay ?ua,wording_correction
5a8dafbd554299068b959da0,Có bao nhiêu t?p phim ???c làm cho lo?t phim khoa h?c vi?n t??ng v?i Gus Birney?,How many episodes were made for the science fiction series with Gus Birney?,ten,m??i,,ok
5abe7eb05542993f32c2a12c,Ngày sinh c?a m?t ng??i sáng l?p H?i C?i cách Congo là khi nào?,When was the date of birth of one of the founder of Congo Reform Association?,1 September 1864,Ngày 1 tháng 9 n?m 1864,,ok
5a86eee85542994775f60787,"Trong nh?ng n?m nào ???ng s?t mà có m?t tr?m d?ng t?i Ringling, Montana ho?t ??ng?"," During what years did the railroad that had a station stop in Ringling, Montana operate?",from 1847 until 1980,T? n?m 1847 ??n n?m 1980,,ok
5ac1c9a15542994ab5c67e1c,Dân s? c?a thành ph? t? ch?c phiên b?n ??u tiên c?a Th? v?n h?i tr? Nam M? là bao nhiêu?,What is the population of the city in which the first edition of the South American Youth Olympic Games were held?,more than 10 million,h?n 10 tri?u,,ok
5ab7f27e5542991d322237d6,Ga Aughton Park n?m trên m?t nhánh c?a ???ng s?t Northern Line cách Liverpool bao xa?,Aughton Park railway station is on a branch of the Northern Line how far from Liverpool?,12+3/4 mi northeast of Liverpool,12+3/4 mi v? phía ?ông b?c Liverpool,12+3/4 d?m v? phía ?ông b?c Liverpool,wording_correction
5a7a5cc955429941d65f25d6,"Sinh nh?t c?a tác gi? ""She Walks These Hills"" là ngày m?y?","What is the birthday of the author of ""She Walks These Hills""?",26-Feb-48,26 tháng 2 n?m 1948,,ok
5a7f89c75542994857a76775,"Các thu?t ng? c?a hình h?c ??i s? thay ??i ??t ng?t v?i s? ra ??i c?a các ph??ng pháp t?ng quát, do m?t nhà toán h?c qu?c t?ch gì kh?i x??ng?","The terminology of algebraic geometry changed drastically with the introduction of the general methods, initiated by a mathematician of what nationality?",German,Ti?ng ??c,ng??i ??c,translation_error
5abd82dc5542993062266cb6,"Vì sao CEO c?a ??i bóng ?á có tr? s? t?i Denver, Colorado t? ch?c vào n?m 2014?","Why did the CEO of the football team based in Denver, Colorado step down in 2014?",due to the onset and progression of Alzheimer's disease,do s? xu?t hi?n và ti?n tri?n c?a b?nh Alzheimer,,ok
5a71231a5542994082a3e5c4,"Qu? cây ?n ???c, m?ng n??c này m?c trên m?t lo?i cây r?ng lá có tên là 'pesco' trong ti?ng Ý","What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,b?,?ào,translation_error
5a77c60255429967ab105285,"Lý thuy?t nào ???c tác gi? c?a cu?n sách ""Progress in Optics"" ??a ra?",What theory was advanced by the author of Progress in Optics?,theory of direct scattering and inverse scattering,Lý thuy?t phân tán tr?c ti?p và phân tán ng??c,lý thuy?t tán x? tr?c ti?p và tán x? ng??c,terminology_correction
5ac2680055429963665199a8,Ernest Newman gi? ch?c v? gì t?i Cung ?i?n và Pháo ?ài Hoàng Gia c?a N? hoàng?,What position did Ernest Newman hold at Her Majesty's Royal Palace and Fortress?,Chaplain,Ch? m?c,tuyên úy,translation_error
5a88016b5542997e5c09a58a,Migene González-Wippler là chuyên gia hàng ??u trong m?t tôn giáo mà ?ã phát tri?n gi?a nhóm dân t?c nào?,Migene González-Wippler is leading expert on a religion that developed among which ethnic group ?,West African descendants,H?u qu? c?a vi?c s? d?ng,h?u du? ng??i Tây Phi,translation_error
5a7bf3da5542996dd594b869,Laurie Davidson là m?t di?n viên ng??i Anh ???c bi?t ??n v?i vi?c vào vai m?t phiên b?n h? c?u c?a William Shakespeare tr? tu?i trên m?t ch??ng trình ?ã b? h?y b? vào ngày nào?,Laurie Davidson is an English actor known for playing a fictionalized version of a young William Shakespeare on a show that was canceled on what date?,5-Sep-17,5 tháng 9 n?m 2017,,ok
5ae4cda05542990ba0bbb148,T?i sao Serena Williams thành công h?n Mariaan de Swardt trong s? nghi?p qu?n v?t c?a cô ?y?,Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,the world No. 1 for the first time,l?n ??u tiên là s? 1 th? gi?i,,source_qa_issue
5a7f3d9b5542992e7d278cb8,Ngh? nghi?p ban ??u c?a tác gi? Freeway Warrior là gì?,What was the author of Freeway Warrior's original occupation?,Originally a musician,Ban ??u là m?t nh?c s?,,ok
5abd0b6b5542996e802b46b4,Cu?i cùng bao g?m bài hát mà ??nh ?i?m ? s? trên b?ng x?p h?ng US Hot 100,Finally includes the song that peaked at what on the US Hot 100,number five,s? 5,,ok
5a8b8f5b55429949d91db5e1,Yameen và Activision cùng chung m?t hình th?c ch?i game nào?,What form of play does Yameen and Activision have in common?,video game,trò ch?i video,trò ch?i ?i?n t?,wording_correction
5abf30185542990832d3a13f,Lou Cutell xu?t hi?n trong t?p th? ba c?a mùa th? chín m?t sitcom CBS mà là t?p s? bao nhiêu?, Lou Cutell appeared on the third episode of the ninth season of an CBS sitcom that was what number episode overall?,187th,187th,th? 187,wording_correction
5ae55ed15542992663a4f1ea,Ý ngh?a c?a tên th? tr?n mà Jack Briggs sinh ra là gì?,What is the meaning of the name of the town where Jack Briggs was born?,valley of the hazels,thung l?ng c?a các hazels,thung l?ng cây ph?,translation_error
5adead1855429939a52fe948,"Ng??i ""Planet Earth Rock and Roll Orchestra"" là album solo cu?i cùng c?a ông qua ??i vào ngày nào?","The person ""Planet Earth Rock and Roll Orchestra"" was the final solo album for died on what date?",28-Jan-16,Ngày 28 tháng 1 n?m 2016,,ok
5a7369da55429901807db037,Tác gi? c?a Songs and Dances of Death thu?c nhóm nào?,In what group was the writer of Songs and Dances of Death in?,"""The Five""","""Nh?ng ng??i n?m""",“Nhóm N?m”,translation_error
5a8834f05542994846c1ce26,Qu?c t?ch c?a nhà so?n nh?c tác ph?m Chaconne in F minor là gì?,What was the nationality of the composer of Chaconne in F minor?,German,Ti?ng ??c,ng??i ??c,translation_error
5adf36c55542993344016c3e,"Tên nh?c s? c?a ""Elliot, A Soldier's Fugue"" ?ã giành gi?i Tony n?m 2008 ? h?ng m?c nào?","In what category did the composer of ""Elliot, a Soldier's Fugue"" win a Tony Award in 2008?",for Best Musical,cho Best Musical,Nh?c k?ch xu?t s?c nh?t,translation_error
5adfb790554299603e418389,Eragrostis và Rhexia có ?i?m gì gi?ng nhau?,What do Eragrostis and Rhexia have in common?,plant genus,Ph? n?,chi th?c v?t,translation_error
5a8dd5f955429917b4a5bcc7,"Ngoài ?ua xe, môn th? thao nào ng??i vô ??ch gi?i Toyota Grand Prix n?m 1998 t?p luy?n?","Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist,ng??i ??p xe dù,?ua xe ??p para,source_qa_issue
5ae0b4c15542993d6555ec21,The Ready Set và Cell là gì?,What are The Ready Set and Cell?,band,b?ng,ban nh?c,translation_error
5ae74fc45542997b22f6a6b4,Tên ??y ?? c?a c?n b?nh hô h?p do virus gây ra mà nghiên c?u c?a Yi Guan giúp ng?n ch?n s? bùng phát là gì?,What is the full name of the viral respiratory disease in which Yi Guan's research helped to prevent the outbreak of?,severe acute respiratory syndrome,h?i ch?ng hô h?p c?p tính nghiêm tr?ng,h?i ch?ng hô h?p c?p tính n?ng,wording_correction
5adf4a275542993a75d26498,"Ng??i ?àn ông, ng??i mà gi?i th??ng mà ""Summer of the Monkeys"" ?ã giành ???c, là m?t phát ngôn nhân cho khu v?c tr?ng c?a n??c M??","The man, who the award in which ""Summer of the Monkeys"" won, was a spokesman for white sector of America?",middle America,Trung M?,n??c M? trung l?u,translation_error
5ac2cdaa554299657fa29070,Neoregelia và Aloysia ???c bi?t ??n là loài cây m?c ? ?âu?,Where are Neoregelia and Aloysia known to grow,"temperate climates,","khí h?u ôn hòa,",khí h?u ôn ??i,wording_correction
5ab4071955429976abd1bd38,S? nghi?p c?a di?n viên trong phim The Skull kéo dài bao lâu?,How long was the career of the actor in The Skull?,70 years,70 n?m,,ok
5adefcf15542995ec70e8f4c,V? trí mà Phó ??i tr??ng th? nh?t c?a Juventus ch?i là gì?,What position does the First Vice Captain of Juventus play?,centre-back,Tr?ng tâm,trung v?,translation_error
5a8900c75542997e5c09a6ed,Thành ph?n nào ???c dùng trong c? Cosmopolitan và Cuba Libre?,What ingredient is in both Cosmopolitan and Cuba Libre?,lime,b?t x?t,chanh xanh,translation_error
5adbfb6855429944faac23e4,"M?t ng??i th?y c?a Nikolai Lugansky, ng??i là m?t ngh? s? piano và nhà so?n nh?c Liên Xô Nga ?ã qua ??i vào n?m nào?","When was one of the teacher of Nikolai Lugansky died who was a Russian Soviet pianist, composer?","1924November 22, 1993",1924Trong ngày 22 tháng 11 n?m 1993,22 tháng 11 n?m 1993,source_qa_issue; cleaned_answer
5abb14a55542992ccd8e7f06,Qu?n c?a Greg Gianforte có bao nhiêu c? tri?,How many constituents does Greg Gianforte's district have?,just over 1 million,Ch? h?n 1 tri?u,,ok
5a7cb993554299452d57b9c2,Có bao nhiêu ?? cao thay ??i t?i ??a ?i?m c?a 1999 FIA GT Hockenheim 500km?,How much change in elevation is there at the site of the 1999 FIA GT Hockenheim 500km?,very little,r?t ít,,ok
5a8836445542997e5c09a5a5,Giáo s? A. Selvanathan là giáo s? t?i m?t tr??ng ??i h?c công l?p hay t? th?c?,Professor A. Selvanathan is a professor at a university that is public or private ?,public,công c?ng,công l?p,wording_correction
5abea85f5542990832d3a070,Timothy J. Sloan là CEO c?a Wells Fargo k? nhi?m v? CEO nh?m ch?c vào tháng nào?,Timothy J. Sloan was the CEO of Wells Fargo who succeeded the CEO who took the job in what month?,Jun-07,Tháng 6 n?m 2007,,ok
5ae5d63b5542996de7b71a2d,Anh trai c?a Saulius Kuzminskas ch?i ? v? trí nào trong bóng r??,In what basketball position does the brother of Saulius Kuzminskas play?,small forward,nh? phía tr??c,ti?n phong ph?,translation_error
5a810c44554299260e20a221,Nh?ng ??i t??ng ???c mang theo vào chi?n tranh b?i nh?ng con tàu h?i quân này mà súng QF 6-pounder Hotchkiss ???c gi?i thi?u ?? phòng th? ch?ng l?i?,What objects were carried into battle by these naval ships for qhich the QF 6-pounder Hotchkiss were introduced to defend against?,torpedoes,máy bay t?n công,ng? lôi,translation_error
5ac3908e554299741d48a297,"Hi?n t?i, h?ng cân nào mà võ s?, ng??i ?ã thua Jon Jones trong s? ki?n UFC 140, ?ang thi ??u?","Currently, which division does the fighter, who lost to Jon Jones in the UFC 140 event, fight in?",middleweight,tr?ng l??ng trung bình,h?ng trung,wording_correction
5ae600325542992663a4f237,M?t ng??i sáng l?p ra John Bishop Memorial Hospital ? Srinagar ?ã vi?t m?t lo?i nh?t ký nào?,What type of diary did one of the founders of the John Bishop Memorial Hospital in Srinagar write?,a travel diary,m?t nh?t ký du l?ch,,ok
5ab5035b5542996a3a969ff8,Tên ??n súng tr??ng 7.92×57mm Mauser ???c s? d?ng b?i quân ??i n??c nào trong th? k? 20?,Q:The 7.92×57mm Mauser rifle cartridge was used by which country's military in the 20th century?,German service cartridge,Thùng d?ch v? ??c,??c,source_qa_issue; translation_error
